id,account_id,exchange_fill_id,terminal_fill_id,exchange_order_id,symbol,side,direction,price,quantity,fee,fee_asset,exchange_position_id,terminal_position_id,is_close,realized_pnl,role,source,timestamp_ms
122,1,qt:120816339,,,STOUSDT,SELL,SHORT,1.11424,26.0,0.00579404,USDT,,,0,0.0,,exchange_history_backfill,1775119764963
123,1,qt:120816340,,,STOUSDT,SELL,SHORT,1.11424,8.0,0.00178278,USDT,,,0,0.0,,exchange_history_backfill,1775119764969
124,1,qt:120816341,,,STOUSDT,SELL,SHORT,1.11424,24.0,0.00534835,USDT,,,0,0.0,,exchange_history_backfill,1775119764971
126,1,qt:120836946,,,STOUSDT,SELL,LONG,1.13936,58.0,0.03304144,USDT,,,1,-1.45696,,exchange_history_backfill,1775119811460
127,1,qt:121567136,,,STOUSDT,SELL,SHORT,1.38329,60.0,0.01659948,USDT,,,0,0.0,,exchange_history_backfill,1775120991556
129,1,qt:121610106,,,STOUSDT,SELL,LONG,1.35673,60.0,0.0407019,USDT,,,1,1.5936,,exchange_history_backfill,1775121009829
130,1,qt:121702991,,,STOUSDT,BUY,LONG,1.33036,62.0,0.01649646,USDT,,,0,0.0,,exchange_history_backfill,1775121087461
132,1,qt:121707969,,,STOUSDT,BUY,SHORT,1.32302,62.0,0.04101362,USDT,,,1,-0.45508,,exchange_history_backfill,1775121095620
133,1,qt:122189375,,,STOUSDT,SELL,SHORT,1.61775,52.0,0.01682459,USDT,,,0,0.0,,exchange_history_backfill,1775121412449
135,1,qt:122198823,,,STOUSDT,SELL,LONG,1.62058,52.0,0.04213508,USDT,,,1,-0.14716,,exchange_history_backfill,1775121419455
136,1,qt:123735315,,,STOUSDT,BUY,LONG,1.22601,66.0,0.01618333,USDT,,,0,0.0,,exchange_history_backfill,1775122240214
138,1,qt:123776713,,,STOUSDT,BUY,SHORT,1.19385,66.0,0.03939705,USDT,,,1,-2.12256,,exchange_history_backfill,1775122272853
139,1,qt:123812308,,,STOUSDT,BUY,LONG,1.13663,75.0,0.01704945,USDT,,,0,0.0,,exchange_history_backfill,1775122287346
141,1,qt:123845374,,,STOUSDT,BUY,SHORT,1.12249,75.0,0.04209337,USDT,,,1,-1.0605,,exchange_history_backfill,1775122308954
142,1,qt:123863650,,,STOUSDT,BUY,LONG,1.15675,66.0,0.0152691,USDT,,,0,0.0,,exchange_history_backfill,1775122316186
144,1,qt:123920190,,,STOUSDT,BUY,SHORT,1.12158,66.0,0.03701214,USDT,,,1,-2.32122,,exchange_history_backfill,1775122339999
145,1,qt:124193444,,,STOUSDT,BUY,LONG,0.99517,93.0,0.01851016,USDT,,,0,0.0,,exchange_history_backfill,1775122461918
147,1,qt:124220865,,,STOUSDT,BUY,SHORT,0.98783,93.0,0.04593409,USDT,,,1,-0.68262,,exchange_history_backfill,1775122477891
148,1,qt:124305190,,,STOUSDT,SELL,SHORT,0.99834,161.0,0.03214654,USDT,,,0,0.0,,exchange_history_backfill,1775122548704
150,1,qt:124309951,,,STOUSDT,SELL,LONG,1.0207205,161.0,0.08216799,USDT,,,1,-3.60326,,exchange_history_backfill,1775122552458
151,1,qt:124316356,,,STOUSDT,SELL,SHORT,1.01971,75.0,0.01529565,USDT,,,0,0.0,,exchange_history_backfill,1775122557444
153,1,qt:124340208,,,STOUSDT,SELL,LONG,1.03195,75.0,0.03869812,USDT,,,1,-0.918,,exchange_history_backfill,1775122584404
154,1,qt:124344045,,,STOUSDT,BUY,LONG,1.03758,64.0,0.01328102,USDT,,,0,0.0,,exchange_history_backfill,1775122588345
156,1,qt:124396070,,,STOUSDT,BUY,SHORT,0.97191,64.0,0.03110112,USDT,,,1,-4.20288,,exchange_history_backfill,1775122617357
157,1,qt:124426591,,,STOUSDT,SELL,SHORT,0.91421,56.0,0.01023915,USDT,,,0,0.0,,exchange_history_backfill,1775122639985
159,1,qt:124472956,,,STOUSDT,SELL,LONG,0.86162875,56.0,0.0241256,USDT,,,1,2.94455,,exchange_history_backfill,1775122666981
160,1,qt:124496851,,,STOUSDT,SELL,SHORT,0.85031,76.0,0.01292471,USDT,,,0,0.0,,exchange_history_backfill,1775122679632
161,1,qt:124496850,,,STOUSDT,SELL,SHORT,0.85031,96.0,0.01632595,USDT,,,0,0.0,,exchange_history_backfill,1775122679632
163,1,qt:124509241,,,STOUSDT,SELL,LONG,0.80724,172.0,0.06942263,USDT,,,1,7.40804,,exchange_history_backfill,1775122685974
2,1,qt:646996001,,,TRUMPUSDT,BUY,LONG,3.794,235.94,0.44757818,USDT,,,0,0.0,,exchange_history_backfill,1773425718321
3,1,qt:646998288,,,TRUMPUSDT,BUY,SHORT,3.786,235.94,0.44663442000000003,USDT,,,1,-1.8875199999999999,,exchange_history_backfill,1773425802644
4,1,qt:647008063,,,TRUMPUSDT,SELL,SHORT,3.75,117.38,0.2200875,USDT,,,0,0.0,,exchange_history_backfill,1773425979847
5,1,qt:647018380,,,TRUMPUSDT,SELL,LONG,3.742,117.38,0.21961798,USDT,,,1,0.93904,,exchange_history_backfill,1773426252478
6,1,qt:647018588,,,TRUMPUSDT,BUY,LONG,3.741,64.01,0.1197307,USDT,,,0,0.0,,exchange_history_backfill,1773426266432
7,1,qt:647018587,,,TRUMPUSDT,BUY,LONG,3.741,51.88,0.09704154,USDT,,,0,0.0,,exchange_history_backfill,1773426266432
8,1,qt:647019865,,,TRUMPUSDT,BUY,SHORT,3.745,114.29,0.21400799,USDT,,,1,0.45715994,,exchange_history_backfill,1773426319240
34,1,qt:52825356,,,XAUUSDT,BUY,LONG,4532.01,0.011,0.01246302,USDT,,,0,0.0,,exchange_history_backfill,1774627831633
36,1,qt:52826281,,,XAUUSDT,BUY,SHORT,4525.43,0.011,0.01244493,USDT,,,1,-0.07238,,exchange_history_backfill,1774627899462
