trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:120503450,1775119307117,STOUSDT,OPEN,0.0,LONG,1.11108,0.0,24.0,26.66592,1775119307117,0.00533318,USDT,0.0,0.0,1,0
qt:120503473,1775119307150,STOUSDT,OPEN,0.0,LONG,1.11108,0.0,47.0,52.220760000000006,1775119307150,0.01044415,USDT,0.0,0.0,1,0
qt:120536942,1775119333869,STOUSDT,REALIZED_PNL,2.4069,SHORT,1.17888,1.14498,71.0,81.29358,1775110209786,0.04064679,USDT,2.41,0.0,1,1
qt:120816339,1775119764963,STOUSDT,OPEN,0.0,SHORT,1.11424,0.0,26.0,28.970239999999997,1775119764963,0.00579404,USDT,0.0,0.0,1,0
qt:120816340,1775119764969,STOUSDT,OPEN,0.0,SHORT,1.11424,0.0,8.0,8.91392,1775119764969,0.00178278,USDT,0.0,0.0,1,0
qt:120816341,1775119764971,STOUSDT,OPEN,0.0,SHORT,1.11424,0.0,24.0,26.74176,1775119764971,0.00534835,USDT,0.0,0.0,1,0
qt:120836946,1775119811460,STOUSDT,REALIZED_PNL,-1.45696,LONG,1.16448,1.13936,58.0,66.08287999999999,1775110209786,0.03304144,USDT,0.0,-1.46,1,1
qt:121567136,1775120991556,STOUSDT,OPEN,0.0,SHORT,1.38329,0.0,60.0,82.9974,1775120991556,0.01659948,USDT,0.0,0.0,1,0
qt:121610106,1775121009829,STOUSDT,REALIZED_PNL,1.5936,LONG,1.33017,1.35673,60.0,81.4038,1775110209786,0.0407019,USDT,1.59,0.0,1,1
qt:121702991,1775121087461,STOUSDT,OPEN,0.0,LONG,1.33036,0.0,62.0,82.48232,1775121087461,0.01649646,USDT,0.0,0.0,1,0
qt:121707969,1775121095620,STOUSDT,REALIZED_PNL,-0.45508,SHORT,1.31568,1.32302,62.0,82.02724,1775110209786,0.04101362,USDT,0.0,-0.46,1,1
qt:122189375,1775121412449,STOUSDT,OPEN,0.0,SHORT,1.61775,0.0,52.0,84.123,1775121412449,0.01682459,USDT,0.0,0.0,1,0
qt:122198823,1775121419455,STOUSDT,REALIZED_PNL,-0.14716,LONG,1.62341,1.62058,52.0,84.27015999999999,1775110209786,0.04213508,USDT,0.0,-0.15,1,1
qt:123735315,1775122240214,STOUSDT,OPEN,0.0,LONG,1.22601,0.0,66.0,80.91666000000001,1775122240214,0.01618333,USDT,0.0,0.0,1,0
qt:123776713,1775122272853,STOUSDT,REALIZED_PNL,-2.12256,SHORT,1.16169,1.19385,66.0,78.79,1775110209786,0.03939705,USDT,0.0,-2.12,1,1
qt:123812308,1775122287346,STOUSDT,OPEN,0.0,LONG,1.13663,0.0,75.0,85.24725000000001,1775122287346,0.01704945,USDT,0.0,0.0,1,0
qt:123845374,1775122308954,STOUSDT,REALIZED_PNL,-1.0605,SHORT,1.10835,1.12249,75.0,84.18675,1775110209786,0.04209337,USDT,0.0,-1.06,1,1
qt:123863650,1775122316186,STOUSDT,OPEN,0.0,LONG,1.15675,0.0,66.0,76.3455,1775122316186,0.0152691,USDT,0.0,0.0,1,0
